strain,effect_1,effect_2,effect_3,effect_4,effect_5,medical_1,medical_2,medical_3,medical_4,medical_5,negative_1,negative_2,negative_3,negative_4,negative_5,flavor_1,flavor_2,flavor_3,category,combined
bugatti og,relaxed,sleepy,euphoric,tingly,happy,insomnia,eyepressure,pain,stress,headaches,paranoid,drymouth,dryeyes,anxious,dizzy,earthy,pine,diesel,hybrid,"relaxed, sleepy, euphoric, tingly, happy, insomnia, eyepressure, pain, stress, headaches, paranoid, drymouth, dryeyes, anxious, dizzy, earthy, pine, diesel, hybrid"
burkle,relaxed,sleepy,hungry,euphoric,happy,stress,insomnia,lackofappetite,cramps,fatigue,drymouth,dryeyes,anxious,dizzy,headache,sweet,berry,spicy/herbal,indica,"relaxed, sleepy, hungry, euphoric, happy, stress, insomnia, lackofappetite, cramps, fatigue, drymouth, dryeyes, anxious, dizzy, headache, sweet, berry, spicy/herbal, indica"
burmese kush,relaxed,happy,uplifted,euphoric,sleepy,stress,depression,pain,insomnia,fatigue,drymouth,headache,dizzy,dryeyes,paranoid,earthy,pine,woody,hybrid,"relaxed, happy, uplifted, euphoric, sleepy, stress, depression, pain, insomnia, fatigue, drymouth, headache, dizzy, dryeyes, paranoid, earthy, pine, woody, hybrid"
burnt cookies,relaxed,talkative,uplifted,euphoric,happy,eyepressure,headaches,stress,none,none,drymouth,none,none,none,none,none,none,none,hybrid,"relaxed, talkative, uplifted, euphoric, happy, eyepressure, headaches, stress, none, none, drymouth, none, none, none, none, none, none, none, hybrid"
butter og,relaxed,hungry,giggly,happy,euphoric,depression,stress,nausea,pain,insomnia,dryeyes,drymouth,dizzy,none,none,butter,apple,chemical,indica,"relaxed, hungry, giggly, happy, euphoric, depression, stress, nausea, pain, insomnia, dryeyes, drymouth, dizzy, none, none, butter, apple, chemical, indica"
butterscotch,relaxed,sleepy,euphoric,focused,hungry,stress,pain,insomnia,depression,musclespasms,drymouth,dizzy,dryeyes,paranoid,none,sweet,woody,earthy,indica,"relaxed, sleepy, euphoric, focused, hungry, stress, pain, insomnia, depression, musclespasms, drymouth, dizzy, dryeyes, paranoid, none, sweet, woody, earthy, indica"
c13 haze,euphoric,creative,energetic,giggly,happy,pain,stress,musclespasms,depression,nausea,drymouth,dryeyes,dizzy,paranoid,headache,earthy,pungent,chestnut,sativa,"euphoric, creative, energetic, giggly, happy, pain, stress, musclespasms, depression, nausea, drymouth, dryeyes, dizzy, paranoid, headache, earthy, pungent, chestnut, sativa"
c3,euphoric,giggly,happy,relaxed,talkative,none,none,none,none,none,none,none,none,none,none,none,none,none,hybrid,"euphoric, giggly, happy, relaxed, talkative, none, none, none, none, none, none, none, none, none, none, none, none, none, hybrid"
c3po,relaxed,sleepy,hungry,focused,uplifted,stress,insomnia,inflammation,pain,headaches,drymouth,none,none,none,none,pine,citrus,pungent,hybrid,"relaxed, sleepy, hungry, focused, uplifted, stress, insomnia, inflammation, pain, headaches, drymouth, none, none, none, none, pine, citrus, pungent, hybrid"
c4,euphoric,happy,relaxed,focused,uplifted,stress,insomnia,eyepressure,depression,pain,drymouth,dryeyes,headache,anxious,dizzy,skunk,citrus,pine,hybrid,"euphoric, happy, relaxed, focused, uplifted, stress, insomnia, eyepressure, depression, pain, drymouth, dryeyes, headache, anxious, dizzy, skunk, citrus, pine, hybrid"
cabbage patch,energetic,happy,uplifted,creative,focused,stress,depression,musclespasms,fatigue,pain,anxious,none,none,none,none,earthy,sweet,berry,hybrid,"energetic, happy, uplifted, creative, focused, stress, depression, musclespasms, fatigue, pain, anxious, none, none, none, none, earthy, sweet, berry, hybrid"
cackleberry,happy,uplifted,focused,sleepy,euphoric,depression,stress,spasticity,fatigue,inflammation,dryeyes,drymouth,dizzy,none,none,grape,ammonia,chemical,hybrid,"happy, uplifted, focused, sleepy, euphoric, depression, stress, spasticity, fatigue, inflammation, dryeyes, drymouth, dizzy, none, none, grape, ammonia, chemical, hybrid"
cactus,relaxed,creative,happy,uplifted,sleepy,pain,depression,insomnia,stress,lackofappetite,dryeyes,drymouth,dizzy,paranoid,anxious,earthy,sweet,tea,indica,"relaxed, creative, happy, uplifted, sleepy, pain, depression, insomnia, stress, lackofappetite, dryeyes, drymouth, dizzy, paranoid, anxious, earthy, sweet, tea, indica"
cactus cooler,happy,uplifted,euphoric,creative,focused,headaches,pain,stress,depression,inflammation,drymouth,dryeyes,anxious,headache,none,citrus,earthy,orange,hybrid,"happy, uplifted, euphoric, creative, focused, headaches, pain, stress, depression, inflammation, drymouth, dryeyes, anxious, headache, none, citrus, earthy, orange, hybrid"
cadillac cookies,relaxed,sleepy,aroused,energetic,creative,headaches,lackofappetite,musclespasms,spasticity,none,drymouth,none,none,none,none,sweet,berry,grapefruit,indica,"relaxed, sleepy, aroused, energetic, creative, headaches, lackofappetite, musclespasms, spasticity, none, drymouth, none, none, none, none, sweet, berry, grapefruit, indica"
cadillac purple,relaxed,sleepy,happy,euphoric,hungry,insomnia,pain,fatigue,stress,depression,drymouth,dryeyes,paranoid,anxious,dizzy,grape,pine,earthy,indica,"relaxed, sleepy, happy, euphoric, hungry, insomnia, pain, fatigue, stress, depression, drymouth, dryeyes, paranoid, anxious, dizzy, grape, pine, earthy, indica"
cali dragon,euphoric,happy,relaxed,uplifted,tingly,pain,stress,depression,insomnia,fatigue,dryeyes,none,none,none,none,pine,woody,citrus,hybrid,"euphoric, happy, relaxed, uplifted, tingly, pain, stress, depression, insomnia, fatigue, dryeyes, none, none, none, none, pine, woody, citrus, hybrid"
cali gold,happy,relaxed,uplifted,sleepy,tingly,depression,pain,insomnia,inflammation,stress,drymouth,dizzy,anxious,paranoid,dryeyes,earthy,pine,lemon,hybrid,"happy, relaxed, uplifted, sleepy, tingly, depression, pain, insomnia, inflammation, stress, drymouth, dizzy, anxious, paranoid, dryeyes, earthy, pine, lemon, hybrid"
cali jack,happy,creative,energetic,euphoric,focused,stress,nausea,lackofappetite,depression,headaches,headache,paranoid,none,none,none,diesel,skunk,sweet,hybrid,"happy, creative, energetic, euphoric, focused, stress, nausea, lackofappetite, depression, headaches, headache, paranoid, none, none, none, diesel, skunk, sweet, hybrid"
cali kush,relaxed,happy,hungry,sleepy,uplifted,depression,lackofappetite,pain,stress,headaches,drymouth,dryeyes,paranoid,anxious,dizzy,pine,earthy,woody,hybrid,"relaxed, happy, hungry, sleepy, uplifted, depression, lackofappetite, pain, stress, headaches, drymouth, dryeyes, paranoid, anxious, dizzy, pine, earthy, woody, hybrid"
california grapefruit,relaxed,happy,giggly,tingly,talkative,insomnia,lackofappetite,eyepressure,fatigue,headaches,drymouth,dizzy,dryeyes,paranoid,none,grapefruit,citrus,lime,indica,"relaxed, happy, giggly, tingly, talkative, insomnia, lackofappetite, eyepressure, fatigue, headaches, drymouth, dizzy, dryeyes, paranoid, none, grapefruit, citrus, lime, indica"
california hash plant,hungry,talkative,happy,uplifted,relaxed,stress,inflammation,pain,cramps,lackofappetite,anxious,drymouth,dryeyes,paranoid,none,citrus,earthy,lemon,indica,"hungry, talkative, happy, uplifted, relaxed, stress, inflammation, pain, cramps, lackofappetite, anxious, drymouth, dryeyes, paranoid, none, citrus, earthy, lemon, indica"
california limes,energetic,euphoric,focused,giggly,creative,depression,none,none,none,none,none,none,none,none,none,grape,lime,orange,sativa,"energetic, euphoric, focused, giggly, creative, depression, none, none, none, none, none, none, none, none, none, grape, lime, orange, sativa"
california love og,happy,energetic,euphoric,focused,relaxed,depression,fatigue,headaches,nausea,stress,drymouth,dizzy,dryeyes,none,none,citrus,chestnut,pine,hybrid,"happy, energetic, euphoric, focused, relaxed, depression, fatigue, headaches, nausea, stress, drymouth, dizzy, dryeyes, none, none, citrus, chestnut, pine, hybrid"
california orange,happy,euphoric,relaxed,uplifted,energetic,depression,stress,pain,fatigue,insomnia,drymouth,dizzy,dryeyes,anxious,paranoid,citrus,orange,sweet,hybrid,"happy, euphoric, relaxed, uplifted, energetic, depression, stress, pain, fatigue, insomnia, drymouth, dizzy, dryeyes, anxious, paranoid, citrus, orange, sweet, hybrid"
california sour,euphoric,energetic,happy,focused,giggly,depression,stress,insomnia,lackofappetite,musclespasms,drymouth,anxious,dryeyes,paranoid,none,diesel,pungent,flowery,hybrid,"euphoric, energetic, happy, focused, giggly, depression, stress, insomnia, lackofappetite, musclespasms, drymouth, anxious, dryeyes, paranoid, none, diesel, pungent, flowery, hybrid"
california sour diesel,creative,energetic,euphoric,focused,relaxed,depression,fatigue,inflammation,lackofappetite,stress,none,none,none,none,none,diesel,pepper,tar,hybrid,"creative, energetic, euphoric, focused, relaxed, depression, fatigue, inflammation, lackofappetite, stress, none, none, none, none, none, diesel, pepper, tar, hybrid"
cambodian,relaxed,focused,sleepy,creative,energetic,eyepressure,fatigue,none,none,none,drymouth,dryeyes,anxious,paranoid,none,earthy,tar,woody,sativa,"relaxed, focused, sleepy, creative, energetic, eyepressure, fatigue, none, none, none, drymouth, dryeyes, anxious, paranoid, none, earthy, tar, woody, sativa"
cambodian haze,euphoric,happy,focused,uplifted,talkative,depression,stress,eyepressure,fatigue,headaches,drymouth,dryeyes,none,none,none,citrus,sweet,earthy,sativa,"euphoric, happy, focused, uplifted, talkative, depression, stress, eyepressure, fatigue, headaches, drymouth, dryeyes, none, none, none, citrus, sweet, earthy, sativa"
candy apple,focused,uplifted,energetic,happy,hungry,depression,fatigue,pain,headaches,insomnia,dizzy,anxious,drymouth,none,none,apple,pineapple,citrus,hybrid,"focused, uplifted, energetic, happy, hungry, depression, fatigue, pain, headaches, insomnia, dizzy, anxious, drymouth, none, none, apple, pineapple, citrus, hybrid"
candy cane,happy,relaxed,euphoric,sleepy,tingly,insomnia,headaches,pain,lackofappetite,inflammation,drymouth,dryeyes,dizzy,paranoid,anxious,sweet,berry,pine,indica,"happy, relaxed, euphoric, sleepy, tingly, insomnia, headaches, pain, lackofappetite, inflammation, drymouth, dryeyes, dizzy, paranoid, anxious, sweet, berry, pine, indica"
candy jack,energetic,uplifted,happy,creative,euphoric,depression,fatigue,stress,pain,eyepressure,drymouth,dryeyes,paranoid,anxious,dizzy,sweet,pine,citrus,sativa,"energetic, uplifted, happy, creative, euphoric, depression, fatigue, stress, pain, eyepressure, drymouth, dryeyes, paranoid, anxious, dizzy, sweet, pine, citrus, sativa"
candyland,happy,uplifted,energetic,relaxed,euphoric,stress,depression,pain,fatigue,headaches,drymouth,dryeyes,anxious,paranoid,dizzy,sweet,earthy,pungent,sativa,"happy, uplifted, energetic, relaxed, euphoric, stress, depression, pain, fatigue, headaches, drymouth, dryeyes, anxious, paranoid, dizzy, sweet, earthy, pungent, sativa"
cannadential,euphoric,happy,uplifted,energetic,relaxed,pain,stress,depression,insomnia,nausea,drymouth,dryeyes,headache,dizzy,paranoid,woody,sweet,berry,hybrid,"euphoric, happy, uplifted, energetic, relaxed, pain, stress, depression, insomnia, nausea, drymouth, dryeyes, headache, dizzy, paranoid, woody, sweet, berry, hybrid"
cannalope haze,uplifted,happy,creative,relaxed,euphoric,stress,depression,pain,inflammation,fatigue,paranoid,anxious,dryeyes,drymouth,headache,citrus,mango,tropical,sativa,"uplifted, happy, creative, relaxed, euphoric, stress, depression, pain, inflammation, fatigue, paranoid, anxious, dryeyes, drymouth, headache, citrus, mango, tropical, sativa"
cannalope kush,happy,energetic,focused,uplifted,relaxed,stress,depression,pain,fatigue,headaches,dryeyes,anxious,drymouth,paranoid,dizzy,woody,sweet,earthy,hybrid,"happy, energetic, focused, uplifted, relaxed, stress, depression, pain, fatigue, headaches, dryeyes, anxious, drymouth, paranoid, dizzy, woody, sweet, earthy, hybrid"
cannasutra,relaxed,happy,euphoric,aroused,hungry,pain,stress,inflammation,insomnia,depression,drymouth,none,none,none,none,flowery,pepper,skunk,indica,"relaxed, happy, euphoric, aroused, hungry, pain, stress, inflammation, insomnia, depression, drymouth, none, none, none, none, flowery, pepper, skunk, indica"
cannatonic,relaxed,happy,uplifted,focused,energetic,stress,pain,depression,inflammation,headaches,drymouth,dryeyes,headache,anxious,paranoid,earthy,citrus,woody,hybrid,"relaxed, happy, uplifted, focused, energetic, stress, pain, depression, inflammation, headaches, drymouth, dryeyes, headache, anxious, paranoid, earthy, citrus, woody, hybrid"
capers,relaxed,uplifted,happy,hungry,sleepy,headaches,depression,musclespasms,pain,insomnia,drymouth,none,none,none,none,pine,pungent,earthy,indica,"relaxed, uplifted, happy, hungry, sleepy, headaches, depression, musclespasms, pain, insomnia, drymouth, none, none, none, none, pine, pungent, earthy, indica"
capleton,happy,giggly,euphoric,relaxed,aroused,eyepressure,pain,stress,depression,fatigue,drymouth,dryeyes,none,none,none,lavender,skunk,chemical,hybrid,"happy, giggly, euphoric, relaxed, aroused, eyepressure, pain, stress, depression, fatigue, drymouth, dryeyes, none, none, none, lavender, skunk, chemical, hybrid"
captain america og,relaxed,euphoric,uplifted,happy,focused,depression,stress,nausea,pain,eyepressure,drymouth,anxious,dryeyes,paranoid,none,citrus,earthy,sweet,hybrid,"relaxed, euphoric, uplifted, happy, focused, depression, stress, nausea, pain, eyepressure, drymouth, anxious, dryeyes, paranoid, none, citrus, earthy, sweet, hybrid"
captains cake,happy,relaxed,euphoric,focused,uplifted,depression,pain,stress,insomnia,inflammation,drymouth,headache,dryeyes,none,none,earthy,sweet,citrus,hybrid,"happy, relaxed, euphoric, focused, uplifted, depression, pain, stress, insomnia, inflammation, drymouth, headache, dryeyes, none, none, earthy, sweet, citrus, hybrid"
caramel cake,euphoric,happy,relaxed,sleepy,uplifted,none,none,none,none,none,none,none,none,none,none,none,none,none,hybrid,"euphoric, happy, relaxed, sleepy, uplifted, none, none, none, none, none, none, none, none, none, none, none, none, none, hybrid"
caramel candy kush,relaxed,happy,creative,hungry,sleepy,pain,insomnia,lackofappetite,stress,headaches,dizzy,paranoid,drymouth,dryeyes,anxious,flowery,skunk,earthy,hybrid,"relaxed, happy, creative, hungry, sleepy, pain, insomnia, lackofappetite, stress, headaches, dizzy, paranoid, drymouth, dryeyes, anxious, flowery, skunk, earthy, hybrid"
caramel kona coffee cookies,aroused,creative,energetic,euphoric,focused,none,none,none,none,none,dryeyes,drymouth,none,none,none,none,none,none,hybrid,"aroused, creative, energetic, euphoric, focused, none, none, none, none, none, dryeyes, drymouth, none, none, none, none, none, none, hybrid"
caramel kona coffee kush,relaxed,sleepy,uplifted,euphoric,giggly,eyepressure,stress,pain,depression,inflammation,drymouth,dryeyes,dizzy,none,none,coffee,earthy,vanilla,indica,"relaxed, sleepy, uplifted, euphoric, giggly, eyepressure, stress, pain, depression, inflammation, drymouth, dryeyes, dizzy, none, none, coffee, earthy, vanilla, indica"
caramelicious,relaxed,happy,euphoric,uplifted,focused,depression,stress,pain,nausea,insomnia,drymouth,dryeyes,dizzy,headache,paranoid,sweet,vanilla,honey,hybrid,"relaxed, happy, euphoric, uplifted, focused, depression, stress, pain, nausea, insomnia, drymouth, dryeyes, dizzy, headache, paranoid, sweet, vanilla, honey, hybrid"
caramella,euphoric,sleepy,aroused,relaxed,giggly,insomnia,pain,depression,stress,eyepressure,dryeyes,dizzy,none,none,none,apple,skunk,earthy,indica,"euphoric, sleepy, aroused, relaxed, giggly, insomnia, pain, depression, stress, eyepressure, dryeyes, dizzy, none, none, none, apple, skunk, earthy, indica"
caramelo,happy,relaxed,uplifted,energetic,euphoric,depression,stress,lackofappetite,insomnia,headaches,drymouth,dryeyes,paranoid,dizzy,none,woody,flowery,earthy,sativa,"happy, relaxed, uplifted, energetic, euphoric, depression, stress, lackofappetite, insomnia, headaches, drymouth, dryeyes, paranoid, dizzy, none, woody, flowery, earthy, sativa"
carl sagan,creative,euphoric,happy,relaxed,focused,stress,depression,fatigue,musclespasms,pain,drymouth,dizzy,dryeyes,none,none,sweet,chemical,tropical,hybrid,"creative, euphoric, happy, relaxed, focused, stress, depression, fatigue, musclespasms, pain, drymouth, dizzy, dryeyes, none, none, sweet, chemical, tropical, hybrid"
carmel cough,energetic,euphoric,focused,creative,none,pain,stress,depression,seizures,none,drymouth,none,none,none,none,berry,sweet,pungent,hybrid,"energetic, euphoric, focused, creative, none, pain, stress, depression, seizures, none, drymouth, none, none, none, none, berry, sweet, pungent, hybrid"
carnival,talkative,uplifted,energetic,euphoric,creative,depression,eyepressure,fatigue,insomnia,lackofappetite,dizzy,headache,none,none,none,earthy,pine,none,sativa,"talkative, uplifted, energetic, euphoric, creative, depression, eyepressure, fatigue, insomnia, lackofappetite, dizzy, headache, none, none, none, earthy, pine, none, sativa"
carpet tape,aroused,relaxed,euphoric,hungry,sleepy,lackofappetite,pain,fatigue,headaches,cramps,drymouth,dryeyes,none,none,none,diesel,pungent,citrus,hybrid,"aroused, relaxed, euphoric, hungry, sleepy, lackofappetite, pain, fatigue, headaches, cramps, drymouth, dryeyes, none, none, none, diesel, pungent, citrus, hybrid"
